"","X__1","Census","Estimates Base","2010","2011","2012","2013","2014","2015","2016"
"1","United States",308745538,308758105,309348193,311663358,313998379,316204908,318563456,320896618,323127513
"2","Northeast",55317240,55318353,55388056,55632766,55829059,55988771,56116791,56184737,56209510
"3","Midwest",66927001,66929825,66978602,67153331,67332320,67543948,67726368,67838387,67941429
"4","South",114555744,114563005,114863114,116061801,117299171,118424320,119696311,121039206,122319574
"5","West",71945553,71946922,72118421,72815460,73537829,74247869,75023986,75834288,76657000
"6",".Alabama",4779736,4780131,4785492,4799918,4815960,4829479,4843214,4853875,4863300
"7",".Alaska",710231,710249,714031,722713,731089,736879,736705,737709,741894
"8",".Arizona",6392017,6392301,6408312,6467163,6549634,6624617,6719993,6817565,6931071
"9",".Arkansas",2915918,2916025,2921995,2939493,2950685,2958663,2966912,2977853,2988248
"10",".California",37253956,37254522,37332685,37676861,38011074,38335203,38680810,38993940,39250017
"11",".Colorado",5029196,5029324,5048644,5118360,5189867,5267603,5349648,5448819,5540545
"12",".Connecticut",3574097,3574114,3579899,3589893,3593795,3596003,3591873,3584730,3576452
"13",".Delaware",897934,897936,899816,907924,916993,925395,934948,944076,952065
"14",".District of Columbia",601723,601766,605183,620477,635327,649165,659005,670377,681170
"15",".Florida",18801310,18804592,18849098,19096952,19344156,19582022,19888741,20244914,20612439
"16",".Georgia",9687653,9688680,9713521,9811610,9914668,9984938,10087231,10199398,10310371
"17",".Hawaii",1360301,1360301,1363945,1377864,1391820,1406481,1416349,1425157,1428557
"18",".Idaho",1567582,1567650,1571010,1584143,1595911,1612011,1633532,1652828,1683140
"19",".Illinois",12830632,12831574,12841578,12860012,12870798,12879505,12867544,12839047,12801539
"20",".Indiana",6483802,6484136,6490528,6516480,6537743,6569102,6595233,6612768,6633053
"21",".Iowa",3046355,3046869,3050738,3065223,3076310,3091930,3108030,3121997,3134693
"22",".Kansas",2853118,2853129,2858850,2869503,2885262,2892821,2899360,2906721,2907289
"23",".Kentucky",4339367,4339344,4348662,4369354,4384799,4400477,4413057,4424611,4436974
"24",".Louisiana",4533372,4533479,4544996,4575404,4603429,4626402,4647880,4668960,4681666
"25",".Maine",1328361,1328364,1327730,1328231,1328895,1329076,1330719,1329453,1331479
"26",".Maryland",5773552,5773786,5788584,5843603,5889651,5931129,5967295,5994983,6016447
"27",".Massachusetts",6547629,6547813,6565524,6611923,6658008,6706786,6749911,6784240,6811779
"28",".Michigan",9883640,9884129,9877495,9876213,9887238,9898982,9915767,9917715,9928300
"29",".Minnesota",5303925,5303924,5311147,5348562,5380285,5418521,5453109,5482435,5519952
"30",".Mississippi",2967297,2968103,2970322,2978162,2984945,2990482,2992400,2989390,2988726
"31",".Missouri",5988927,5988928,5996118,6010717,6025415,6042711,6060930,6076204,6093000
"32",".Montana",989415,989414,990641,997821,1005196,1014314,1022867,1032073,1042520
"33",".Nebraska",1826341,1826334,1830051,1842283,1855725,1868559,1881145,1893765,1907116
"34",".Nevada",2700551,2700691,2703284,2718379,2752565,2786464,2833013,2883758,2940058
"35",".New Hampshire",1316470,1316461,1316872,1318473,1321182,1322687,1328743,1330111,1334795
"36",".New Jersey",8791894,8791953,8803729,8841243,8873211,8899162,8925001,8935421,8944469
"37",".New Mexico",2059179,2059198,2064756,2077756,2083784,2085193,2083024,2080328,2081015
"38",".New York",19378102,19378110,19402640,19519529,19602769,19673546,19718515,19747183,19745289
